Settimana,ripple
2017-08-27,0.6
2017-09-03,0.54
2017-09-10,0.45
2017-09-17,0.36
2017-09-24,0.36
2017-10-01,0.55
2017-10-08,0.77
2017-10-15,0.88
2017-10-22,0.55
2017-10-29,0.66
2017-11-05,0.7
2017-11-12,0.98
2017-11-19,1.12
2017-11-26,1.82
2017-12-03,12.18
2017-12-10,46.11
2017-12-17,50.46
2017-12-24,62.64
2017-12-31,87.0
2018-01-07,72.0
2018-01-14,45.0
2018-01-21,24.0
2018-01-28,23.0
2018-02-04,6.51
2018-02-11,5.27
2018-02-18,4.34
2018-02-25,3.1
2018-03-04,2.47
2018-03-11,1.9
2018-03-18,1.71
2018-03-25,1.71
2018-04-01,1.28
2018-04-08,1.28
2018-04-15,1.6
2018-04-22,1.6
2018-04-29,1.28
2018-05-06,0.91
2018-05-13,0.78
2018-05-20,0.91
2018-05-27,0.78
2018-06-03,0.66
2018-06-10,0.66
2018-06-17,0.55
2018-06-24,0.66
2018-07-01,0.45
2018-07-08,0.45
2018-07-15,0.45
2018-07-22,0.45
2018-07-29,0.45
2018-08-05,0.5
2018-08-12,0.5
2018-08-19,0.6
2018-08-26,0.5
2018-09-02,0.65
2018-09-09,0.65
2018-09-16,1.3
2018-09-23,1.04
2018-09-30,1.04
2018-10-07,0.6
2018-10-14,0.6
2018-10-21,0.5
2018-10-28,0.5
2018-11-04,0.66
2018-11-11,0.66
2018-11-18,0.66
2018-11-25,0.66
2018-12-02,0.5
2018-12-09,0.5
2018-12-16,0.6
2018-12-23,0.5
2018-12-30,4.15
2019-01-06,5.84
2019-01-13,5.28
2019-01-20,4.88
2019-01-27,5.84
2019-02-03,5.28
2019-02-10,5.04
2019-02-17,5.76
2019-02-24,6.24
2019-03-03,4.2
2019-03-10,4.97
2019-03-17,4.06
2019-03-24,3.92
2019-03-31,5.53
2019-04-07,5.36
2019-04-14,4.96
2019-04-21,4.72
2019-04-28,4.64
2019-05-05,5.58
2019-05-12,9.0
2019-05-19,6.75
2019-05-26,7.65
2019-06-02,6.57
2019-06-09,6.39
2019-06-16,7.92
2019-06-23,8.19
2019-06-30,6.3
2019-07-07,4.9
2019-07-14,4.27
2019-07-21,3.92
2019-07-28,3.99
2019-08-04,4.2
2019-08-11,4.41
2019-08-18,4.34
2019-08-25,4.13
2019-09-01,4.88
2019-09-08,4.64
2019-09-15,5.84
2019-09-22,5.12
2019-09-29,4.64
2019-10-06,4.13
2019-10-13,4.2
2019-10-20,4.27
2019-10-27,4.06
2019-11-03,4.83
2019-11-10,3.92
2019-11-17,3.64
2019-11-24,3.43
2019-12-01,3.0
2019-12-08,2.76
2019-12-15,3.6
2019-12-22,3.06
2019-12-29,2.34
2020-01-05,2.1
2020-01-12,2.52
2020-01-19,2.45
2020-01-26,2.17
2020-02-02,2.96
2020-02-09,3.6
2020-02-16,2.96
2020-02-23,2.8
2020-03-01,1.86
2020-03-08,2.1
2020-03-15,1.74
2020-03-22,1.56
2020-03-29,1.62
2020-04-05,1.68
2020-04-12,1.56
2020-04-19,1.68
2020-04-26,1.98
2020-05-03,2.24
2020-05-10,2.31
2020-05-17,2.17
2020-05-24,1.96
2020-05-31,2.1
2020-06-07,1.68
2020-06-14,1.8
2020-06-21,1.68
2020-06-28,1.56
2020-07-05,1.8
2020-07-12,1.62
2020-07-19,1.62
2020-07-26,2.4
2020-08-02,3.6
2020-08-09,2.88
2020-08-16,2.88
2020-08-23,2.4
2020-08-30,2.64
2020-09-06,1.68
2020-09-13,1.62
2020-09-20,1.5
2020-09-27,1.5
2020-10-04,1.5
2020-10-11,1.5
2020-10-18,1.62
2020-10-25,1.62
2020-11-01,2.6
2020-11-08,3.0
2020-11-15,4.3
2020-11-22,9.3
2020-11-29,5.8
2020-12-06,7.05
2020-12-13,8.4
2020-12-20,15.0
2020-12-27,12.08
2021-01-03,8.55
2021-01-10,5.7
2021-01-17,4.5
2021-01-24,5.4
2021-01-31,11.55
2021-02-07,9.88
2021-02-14,10.26
2021-02-21,10.83
2021-02-28,5.7
2021-03-07,3.2
2021-03-14,2.8
2021-03-21,3.2
2021-03-28,3.0
2021-04-04,18.75
2021-04-11,25.0
2021-04-18,15.25
2021-04-25,14.5
2021-05-02,10.54
2021-05-09,8.84
2021-05-16,9.01
2021-05-23,6.97
2021-05-30,5.78
2021-06-06,2.52
2021-06-13,2.16
2021-06-20,2.25
2021-06-27,1.89
2021-07-04,1.52
2021-07-11,1.6
2021-07-18,1.44
2021-07-25,1.92
2021-08-01,2.1
2021-08-08,3.0
2021-08-15,3.0
2021-08-22,2.6
2021-08-29,2.7
2021-09-05,2.16
2021-09-12,1.76
2021-09-19,1.76
2021-09-26,1.68
2021-10-03,2.25
2021-10-10,2.25
2021-10-17,2.16
2021-10-24,2.07
2021-10-31,2.34
2021-11-07,2.61
2021-11-14,2.07
2021-11-21,1.89
2021-11-28,1.8
2021-12-05,1.47
2021-12-12,1.33
2021-12-19,1.47
2021-12-26,2.8
2022-01-02,6.02
2022-01-09,5.32
