Crypto,States,Initializations,Seed,Score 1,Score 2,Score 3,Score 4,Score 5,Score 6,Score 7
bitcoin,4,7,2222,8390.364552688667,8557.404737339868,8556.65889574201,8532.806441080462,8542.212292546857,8466.452542675686,8474.119736902512
bitcoin,5,7,2222,8592.986190782362,8605.903261058162,8542.733815098845,8609.013163168753,8547.335060195821,8562.559500395713,8535.312106830686
bitcoin,6,7,2222,8574.791969914673,8594.327514582084,8535.722085168722,8577.078848119892,8620.713623617432,8498.13142947888,8610.419505180422
dogecoin,4,7,2222,7305.230930800753,7307.529782241978,7317.766199177388,7076.8586199186,7292.49399693423,7246.521149691763,7267.313944620882
dogecoin,5,7,2222,7317.870651662296,7318.081236055357,7299.123154645806,7109.457919534652,7314.551380288263,7322.377575238769,7268.403574863827
dogecoin,6,7,2222,7334.453516736398,7307.06616618021,7351.516652861993,7320.2327114515965,7278.343561089912,7339.12180651707,7287.0849976711925
ethereum-classic,4,7,2222,7599.135997653844,7422.377437964375,7609.99624050746,7628.58190870718,7582.60230065456,7588.350850933723,7572.525049826687
ethereum-classic,5,7,2222,7525.351827564264,7534.872299117178,7645.504236066312,7593.386450387707,7581.400960770637,7617.122553889213,7570.399104236973
ethereum-classic,6,7,2222,7568.5166592385585,7557.2555541290485,7546.305500490796,7633.604780801138,7581.505704755166,7585.770716947439,7581.820385607087
ethereum,4,7,2222,7724.93362050816,7746.351016696671,7821.841400062403,7736.370213460225,7873.226176852066,7810.873207580792,7768.093981818453
ethereum,5,7,2222,7809.979355854244,7909.378691454334,7869.366327643845,7888.81450774715,7807.205592484295,7810.053322937968,7905.994641706339
ethereum,6,7,2222,7918.381480387232,7817.697160502426,7932.948381404996,7832.9242147975,7880.244503877169,7930.939000173097,7845.273968416878
litecoin,4,7,2222,7820.622526259123,7863.9616873766745,7866.167356341212,7815.963315543471,7836.150755893713,7844.515573588224,7866.16735706575
litecoin,5,7,2222,7826.286764139406,7847.912543498888,7811.21063221587,7857.8646307113,7892.363595477064,7805.264973935509,7859.057581240127
litecoin,6,7,2222,7859.528783986601,7880.542718062209,7841.718624147525,7866.7493476232585,7811.877270869872,7794.539076584412,7909.5259560115555
monero,4,7,2222,7713.507919770683,7767.945956331634,7717.941704821469,7697.3469935064295,7703.660321457999,7702.812452698702,7673.703346527431
monero,5,7,2222,7785.004471781611,7709.767959992983,7762.5488563685585,7735.865005400027,7767.90468467898,7675.704164138014,7747.024747738124
monero,6,7,2222,7735.666713547955,7759.05892407633,7803.261484109894,7571.981167830523,7758.210321379129,7700.919443412853,7785.343531356991
ripple,4,7,2222,7478.0432936400475,7468.334084609419,7480.197072102124,7445.802317842474,7346.919297027108,7502.8020850204975,7412.290412149025
ripple,5,7,2222,7486.375573979441,7548.716244632328,7475.081410110855,7413.0688263370575,7359.4619752396475,7517.137441844181,7548.475146752264
ripple,6,7,2222,7578.688824297089,7576.874117429726,7483.324748141044,7507.68688351652,7609.8803455757625,7593.912045650345,7450.858494067782
