Settimana,litecoin
2017-08-27,0.9
2017-09-03,0.84
2017-09-10,0.72
2017-09-17,0.48
2017-09-24,0.36
2017-10-01,0.24
2017-10-08,0.32
2017-10-15,0.32
2017-10-22,0.32
2017-10-29,0.4
2017-11-05,1.33
2017-11-12,1.14
2017-11-19,1.71
2017-11-26,3.99
2017-12-03,32.0
2017-12-10,100.0
2017-12-17,56.0
2017-12-24,28.0
2017-12-31,62.5
2018-01-07,28.16
2018-01-14,21.76
2018-01-21,13.12
2018-01-28,14.4
2018-02-04,12.69
2018-02-11,19.44
2018-02-18,17.55
2018-02-25,9.72
2018-03-04,3.24
2018-03-11,2.64
2018-03-18,2.16
2018-03-25,2.52
2018-04-01,1.36
2018-04-08,1.2
2018-04-15,1.36
2018-04-22,1.36
2018-04-29,1.28
2018-05-06,0.9
2018-05-13,0.78
2018-05-20,0.66
2018-05-27,0.66
2018-06-03,0.6
2018-06-10,0.84
2018-06-17,0.66
2018-06-24,0.72
2018-07-01,0.45
2018-07-08,0.5
2018-07-15,0.55
2018-07-22,0.5
2018-07-29,0.5
2018-08-05,0.6
2018-08-12,0.6
2018-08-19,0.45
2018-08-26,0.5
2018-09-02,0.5
2018-09-09,0.45
2018-09-16,0.45
2018-09-23,0.45
2018-09-30,0.4
2018-10-07,0.21
2018-10-14,0.21
2018-10-21,0.18
2018-10-28,0.21
2018-11-04,0.28
2018-11-11,0.32
2018-11-18,0.36
2018-11-25,0.36
2018-12-02,0.32
2018-12-09,0.32
2018-12-16,0.4
2018-12-23,0.36
2018-12-30,0.9
2019-01-06,1.84
2019-01-13,1.24
2019-01-20,1.2
2019-01-27,1.16
2019-02-03,2.25
2019-02-10,2.2
2019-02-17,2.4
2019-02-24,2.05
2019-03-03,2.0
2019-03-10,1.64
2019-03-17,1.6
2019-03-24,1.4
2019-03-31,3.08
2019-04-07,3.3
2019-04-14,2.4
2019-04-21,2.34
2019-04-28,2.34
2019-05-05,2.58
2019-05-12,4.44
2019-05-19,3.3
2019-05-26,4.5
2019-06-02,4.95
2019-06-09,9.0
2019-06-16,7.65
2019-06-23,8.19
2019-06-30,5.85
2019-07-07,4.08
2019-07-14,3.9
2019-07-21,3.12
2019-07-28,3.48
2019-08-04,3.25
2019-08-11,2.5
2019-08-18,2.1
2019-08-25,2.05
2019-09-01,1.11
2019-09-08,1.05
2019-09-15,1.11
2019-09-22,1.17
2019-09-29,0.93
2019-10-06,0.87
2019-10-13,0.84
2019-10-20,0.9
2019-10-27,0.93
2019-11-03,0.9
2019-11-10,0.87
2019-11-17,0.93
2019-11-24,0.87
2019-12-01,0.78
2019-12-08,0.69
2019-12-15,0.9
2019-12-22,0.93
2019-12-29,0.78
2020-01-05,1.0
2020-01-12,1.24
2020-01-19,1.0
2020-01-26,1.28
2020-02-02,1.4
2020-02-09,1.48
2020-02-16,1.28
2020-02-23,1.08
2020-03-01,0.88
2020-03-08,1.4
2020-03-15,1.36
2020-03-22,1.04
2020-03-29,0.96
2020-04-05,0.75
2020-04-12,0.72
2020-04-19,0.75
2020-04-26,0.84
2020-05-03,1.2
2020-05-10,1.12
2020-05-17,0.96
2020-05-24,0.92
2020-05-31,0.96
2020-06-07,0.6
2020-06-14,0.6
2020-06-21,0.57
2020-06-28,0.57
2020-07-05,0.63
2020-07-12,0.63
2020-07-19,0.69
2020-07-26,1.11
2020-08-02,1.36
2020-08-09,1.16
2020-08-16,1.36
2020-08-23,0.96
2020-08-30,1.12
2020-09-06,0.69
2020-09-13,0.6
2020-09-20,0.57
2020-09-27,0.57
2020-10-04,0.51
2020-10-11,0.54
2020-10-18,0.78
